source,brand,title,price,url,image_url,product_highlights,total_count,unit_price
PChome,威德健康,威德健康益生菌 90包,1290,https://24h.pchome.com.tw/prod/DBAUEO-A900AY3U0,https://cs-a.ecimg.tw/items/DBAUEOA900AY3U0/000001_1619536472.jpg,,,0.0
PChome,官方直營,官方直營 升級版 益菌寶-K21代謝益生菌60包/盒 二入組(蔡英傑教授領導開發惠生研生技),2856,https://24h.pchome.com.tw/prod/QEAB69-A900AMCYN,https://cs-a.ecimg.tw/items/QEAB69A900AMCYN/000001_1724743316.jpg,,,0.0
PChome,共60顆,共60顆益生菌膠囊1盒組,2200,https://24h.pchome.com.tw/prod/CFADAS-A900551MY,https://cs-a.ecimg.tw/items/CFADASA900551MY/000001_1762236827.jpg,,60.0,36.67
PChome,日本,【日本】晶球益生菌長益菌50+10加強保健(30條X3盒),3280,https://24h.pchome.com.tw/prod/DBBA14-A9005TGIE,https://cs-a.ecimg.tw/items/DBBA14A9005TGIE/000001_1767326117.jpg,,,0.0
PChome,日本,【日本】晶球益生菌長益菌50+10加強保健(30條/盒),1190,https://24h.pchome.com.tw/prod/DBAD8N-A9007LOLH,https://cs-a.ecimg.tw/items/DBAD8NA9007LOLH/000001_1767326027.jpg,,,0.0
PChome,300億,300億純淨益生菌(30條/盒)x3盒,3280,https://24h.pchome.com.tw/prod/DBAUA4-1900BQGK2,https://cs-a.ecimg.tw/items/DBAUA41900BQGK2/000001_1764129268.jpg,,,0.0
PChome,官方直營,官方直營 升級版 益菌寶-K21代謝益生菌60包/盒(蔡英傑教授領導開發惠生研生技),1680,https://24h.pchome.com.tw/prod/QEAB69-A900AMCXX,https://cs-a.ecimg.tw/items/QEAB69A900AMCXX/000001_1724743467.jpg,,,0.0
PChome,日本,【日本】晶球益生菌長益菌-加強保健(30條X2盒)雙12特惠組,2200,https://24h.pchome.com.tw/prod/DBAD8N-A900C1I65,https://cs-a.ecimg.tw/items/DBAD8NA900C1I65/000001_1767326027.jpg,,,0.0
PChome,威德,【 威德】健康益生菌(90包),1199,https://24h.pchome.com.tw/prod/DBBC70-A900EDHTK,https://cs-a.ecimg.tw/items/DBBC70A900EDHTK/000001_1680753707.jpg,,,0.0
PChome,優舒敏益,優舒敏益生菌複方膠囊(60錠/瓶),1140,https://24h.pchome.com.tw/prod/DBAUEU-A900AE7RZ,https://cs-a.ecimg.tw/items/DBAUEUA900AE7RZ/000001_1724056695.jpg,,60.0,19.0
PChome,官方直營,益生菌 NTU101乳酸菌60入【官方直營】,2090,https://24h.pchome.com.tw/prod/DBCQ00-A900FCDM8,https://cs-a.ecimg.tw/items/DBCQ00A900FCDM8/000001_1668995132.jpg,,,0.0
PChome,舒密護蔓,舒密護蔓越莓益生菌30入,699,https://24h.pchome.com.tw/prod/DBAUFK-A900B5UCR,https://cs-a.ecimg.tw/items/DBAUFKA900B5UCR/000001_1756711744.jpg,,,0.0
PChome,暢快人生,暢快人生激速EX益生菌加強版(21袋/盒)共出3盒(順暢 酵素 藤黃果),1140,https://24h.pchome.com.tw/prod/DBAUI6-A900F1ZQK,https://cs-a.ecimg.tw/items/DBAUI6A900F1ZQK/000001_1713145252.jpg,,,0.0
PChome,舒密護蔓,舒密護蔓越莓益生菌(30入/盒)x2盒,1200,https://24h.pchome.com.tw/prod/DBAUFK-1900B8DON,https://cs-a.ecimg.tw/items/DBAUFK1900B8DON/000001_1756711741.jpg,,,0.0
PChome,威德益生,威德益生菌 90包,1149,https://24h.pchome.com.tw/prod/DBAUEO-A900HF9LZ,https://cs-a.ecimg.tw/items/DBAUEOA900HF9LZ/000001_1714019973.jpg,,,0.0
PChome,日本,【日本】晶球益生菌長益菌-頂級保健(30條/盒),2500,https://24h.pchome.com.tw/prod/DBBA14-A83080540,https://cs-a.ecimg.tw/items/DBBA14A83080540/000001_1767326053.jpg,,,0.0
PChome,LP28,LP28敏立清Plus益生菌-乳酸x3(30條/盒),1599,https://24h.pchome.com.tw/prod/DBCC0K-1900ICKXJ,https://cs-a.ecimg.tw/items/DBCC0K1900ICKXJ/000001_1766973607.jpg,,,0.0
PChome,美國 r,美國 reFeel 2.0 複合益生菌 PLUS 30包/盒,1358,https://24h.pchome.com.tw/prod/DBAUEO-A900GOV1F,https://cs-a.ecimg.tw/items/DBAUEOA900GOV1F/000001_1695780512.jpg,EE乙酯型,,0.0
PChome,高濃縮蔓,高濃縮蔓越莓私密益生菌植物膠囊(30顆) x5盒,1995,https://24h.pchome.com.tw/prod/DBDR01-1900F5WAC,https://cs-a.ecimg.tw/items/DBDR011900F5WAC/000001_1764583411.jpg,,150.0,13.3
PChome,100億,100億綜合益生菌膠囊一入60顆,863,https://24h.pchome.com.tw/prod/DBCC1R-A900GIHF7,https://cs-a.ecimg.tw/items/DBCC1RA900GIHF7/000001_1765874764.jpg,,60.0,14.38
PChome,黑松生技,【黑松生技】排空消化更輕盈青汁酵素益生菌(30入/盒),1080,https://24h.pchome.com.tw/prod/DBAUHU-A900ERULG,https://cs-a.ecimg.tw/items/DBAUHUA900ERULG/000001_1660210911.jpg,,,0.0
PChome,歐敏力 ,歐敏力 九久益生菌28包/盒,1880,https://24h.pchome.com.tw/prod/DBCC1X-A900IIR7P,https://cs-a.ecimg.tw/items/DBCC1XA900IIR7P/000001_1749054620.jpg,,,0.0
PChome,益生菌膠,益生菌膠囊B1 PLUS(30顆x1盒),1350,https://24h.pchome.com.tw/prod/DBAUGM-A900F8BSJ,https://cs-a.ecimg.tw/items/DBAUGMA900F8BSJ/000001_1762236508.jpg,,30.0,45.0
PChome,益生菌膠,益生菌膠囊30顆(冷藏1盒+常溫1盒),2020,https://24h.pchome.com.tw/prod/DBAUGM-A900F8BUT,https://cs-a.ecimg.tw/items/DBAUGMA900F8BUT/000001_1762236252.jpg,,30.0,67.33
PChome,2入組,【2入組】  日本專利益生菌 2gX30包/盒 (19種類酵素 16種類乳酸菌 奶素可食 原廠公司貨),1188,https://24h.pchome.com.tw/prod/DBAUEY-A900BQMSR,https://cs-a.ecimg.tw/items/DBAUEYA900BQMSR/000001_1769827888.jpg,,,0.0
PChome,MeridLife 樂益活,【MeridLife 樂益活】菌護全能益生菌_60顆,807,https://24h.pchome.com.tw/prod/DBCC22-A900ILOB8,https://cs-a.ecimg.tw/items/DBCC22A900ILOB8/000001_1745205952.jpg,,60.0,13.45
PChome,威德,【威德】益生菌顆粒(90包),1299,https://24h.pchome.com.tw/prod/DBCC22-A900J7JJC,https://cs-a.ecimg.tw/items/DBCC22A900J7JJC/000001_1757064660.jpg,,,0.0
PChome,益暢敏粉,益暢敏粉末益生菌 (30包/盒),1680,https://24h.pchome.com.tw/prod/DBAUHK-A900B8KE9,https://cs-a.ecimg.tw/items/DBAUHKA900B8KE9/000001_1728974211.jpg,,,0.0
PChome,樂齡益生,樂齡益生菌(30包入/盒) 3盒/組,1639,https://24h.pchome.com.tw/prod/DBAUEU-A900FEGM1,https://cs-a.ecimg.tw/items/DBAUEUA900FEGM1/000001_1724209091.jpg,,,0.0
PChome,歐敏力 ,歐敏力 3穩益生菌30包/盒,1880,https://24h.pchome.com.tw/prod/DBCC0K-A900IIR8P,https://cs-a.ecimg.tw/items/DBCC0KA900IIR8P/000001_1749054655.jpg,,,0.0
PChome,YM BIOMED,【YM BIOMED 】一家人益生菌60包X2盒,3268,https://24h.pchome.com.tw/prod/DBAUEO-1900BC4WF,https://cs-a.ecimg.tw/items/DBAUEO1900BC4WF/000001_1741859212.jpg,,,0.0
PChome,百里香超,百里香超級益生菌-新x1盒 (30包.耳鼻喉科張益豪醫師推薦.薄荷風味.潤喉清新.提升防護力),1512,https://24h.pchome.com.tw/prod/DBCC22-A900IDIRK,https://cs-a.ecimg.tw/items/DBCC22A900IDIRK/000001_1770100498.jpg,,,0.0
PChome,威德 益,威德 益生菌 Probiotics (90包/盒),1299,https://24h.pchome.com.tw/prod/DBAUIS-A900F0UOI,https://cs-a.ecimg.tw/items/DBAUISA900F0UOI/000001_1652263032.jpg,,,0.0
PChome,日本,【日本】晶球益生菌長益菌50+10加強保健X44條超值組,1660,https://24h.pchome.com.tw/prod/DBAD8N-A900GASJY,https://cs-a.ecimg.tw/items/DBAD8NA900GASJY/000001_1735635678.jpg,,,0.0
PChome,五國專利,五國專利300億ABC益生菌 30包/盒X2,1899,https://24h.pchome.com.tw/prod/DBCC22-A900I18IH,https://cs-a.ecimg.tw/items/DBCC22A900I18IH/000001_1737018017.jpg,,,0.0
PChome,歐敏力 ,歐敏力 熊貓益生菌30包/盒,1880,https://24h.pchome.com.tw/prod/DBCC22-A900IIR0C,https://cs-a.ecimg.tw/items/DBCC22A900IIR0C/000001_1749054587.jpg,,,0.0
PChome,日本,【日本】晶球益生菌長益菌50+10加強保健(30條/盒),1190,https://24h.pchome.com.tw/prod/QEAB6M-A9005U1BP,https://cs-a.ecimg.tw/items/QEAB6MA9005U1BP/000001_1735634663.jpg,,,0.0
PChome,優倍多Y,優倍多YouBest  蔓越莓益生菌 30包/盒,629,https://24h.pchome.com.tw/prod/DBADDP-A900BE3G8,https://cs-a.ecimg.tw/items/DBADDPA900BE3G8/000001_1739170155.jpg,,,0.0
PChome,日本,【日本】晶球益生菌長益菌50+10加強保健(14條/盒),580,https://24h.pchome.com.tw/prod/DBBA14-A9005TG7N,https://cs-a.ecimg.tw/items/DBBA14A9005TG7N/000001_1767326069.jpg,,,0.0
PChome,舒暢益生,舒暢益生菌(30包入/盒) 5盒/組,2085,https://24h.pchome.com.tw/prod/DBAUEU-1900AUPN0,https://cs-a.ecimg.tw/items/DBAUEU1900AUPN0/000001_1740623581.jpg,,,0.0
PChome,健常八益,健常八益菌益生菌膠囊(80粒/瓶),560,https://24h.pchome.com.tw/prod/DBBB0G-A9009FFQX,https://cs-a.ecimg.tw/items/DBBB0GA9009FFQX/000001_1764565946.jpg,,80.0,7.0
PChome,兒童 初,兒童 初乳益生菌粉EX 柳橙口味 (2g/包30包/盒)2盒組,1290,https://24h.pchome.com.tw/prod/DBAD0F-A900BXBLM,https://cs-a.ecimg.tw/items/DBAD0FA900BXBLM/000001_1730445158.jpg,,,0.0
PChome,舒暢益生,舒暢益生菌(30包入/盒) 2盒/組加碼贈舒暢益生菌PLUS4g3包,999,https://24h.pchome.com.tw/prod/DBDJ0B-A900FWTUM,https://cs-a.ecimg.tw/items/DBDJ0BA900FWTUM/000001_1723792964.jpg,,,0.0
PChome,舒暢益生,舒暢益生菌PLUS(4g*30包/盒) x5盒,2669,https://24h.pchome.com.tw/prod/DBDJ0B-1900FO1UD,https://cs-a.ecimg.tw/items/DBDJ0B1900FO1UD/000001_1762230864.jpg,,,0.0
